Login,2023-06-06 20:26:58
Show all songs/albums,2023-06-06 20:27:14
Show songs in queue,2023-06-06 20:27:15
Show Release Radar,2023-06-06 20:27:16
Show my playlists,2023-06-06 20:27:17
Put song in queue,2023-06-06 20:27:26
Show my playlists,2023-06-06 20:27:33
Delete song from playlist,2023-06-06 20:27:46
Show my playlists,2023-06-06 20:27:52
Logout,2023-06-06 20:28:02
